t		x	y	z	Vx	Vy	Vz		x	y	z	Vx	Vy	Vz
2820		-229999895.8	-279999936.4	-69999957.81	0.075548594	0.046066914	0.030663942		81401532.49	-91133172.42	57252570.99	493.8594089	-403.7443197	797.5076342
2880		-229999891.3	-279999933.6	-69999955.97	0.077159705	0.047044063	0.031322314		81431164.06	-91157397.08	57300421.45	493.7284577	-403.8237423	797.4541217
2940		-229999886.7	-279999930.8	-69999954.09	0.07877097	0.048021086	0.031980934		81460787.76	-91181626.51	57348268.7	493.597494	-403.9031548	797.4005891
3000		-229999881.9	-279999927.9	-69999952.17	0.080382389	0.048997984	0.032639801		81490403.61	-91205860.69	57396112.73	493.4665179	-403.9825571	797.3470363
3060		-229999877.1	-279999925	-69999950.22	0.08199396	0.049974757	0.033298916		81520011.6	-91230099.65	57443953.56	493.3355294	-404.0619492	797.2934635
3120		-229999872.2	-279999922	-69999948.22	0.083605685	0.050951404	0.033958278		81549611.74	-91254343.37	57491791.16	493.2045284	-404.141331	797.2398705
3180		-229999867.2	-279999918.9	-69999946.18	0.085217563	0.051927925	0.034617888		81579204.01	-91278591.84	57539625.56	493.0735149	-404.2207027	797.1862574
3240		-229999862.1	-279999915.8	-69999944.1	0.086829593	0.052904321	0.035277746		81608788.42	-91302845.09	57587456.73	492.942489	-404.3000642	797.1326242
3300		-229999856.9	-279999912.6	-69999941.99	0.088441777	0.053880592	0.03593785		81638364.97	-91327103.09	57635284.69	492.8114507	-404.3794155	797.0789708
3360		-229999851.5	-279999909.4	-69999939.83	0.090054114	0.054856737	0.036598203		81667933.65	-91351365.86	57683109.43	492.6803999	-404.4587566	797.0252974
3420		-229999846.1	-279999906.1	-69999937.63	0.091666604	0.055832757	0.037258802		81697494.48	-91375633.38	57730930.95	492.5493367	-404.5380875	796.9716039
3480		-229999840.6	-279999902.7	-69999935.4	0.093279247	0.056808651	0.037919649		81727047.44	-91399905.67	57778749.24	492.4182611	-404.6174082	796.9178902
3540		-229999835	-279999899.3	-69999933.12	0.094892042	0.057784419	0.038580744		81756592.53	-91424182.71	57826564.31	492.287173	-404.6967187	796.8641564
3600		-229999829.4	-279999895.9	-69999930.81	0.096504991	0.058760062	0.039242085		81786129.77	-91448464.51	57874376.16	492.1560725	-404.7760189	796.8104026
3660		-229999823.6	-279999892.3	-69999928.45	0.098118092	0.059735579	0.039903674		81815659.13	-91472751.08	57922184.79	492.0249596	-404.855309	796.7566286
3720		-229999817.7	-279999888.8	-69999926.06	0.099731346	0.060710971	0.040565511		81845180.63	-91497042.39	57969990.19	491.8938343	-404.9345888	796.7028345
3780		-229999811.7	-279999885.1	-69999923.63	0.101344753	0.061686236	0.041227595		81874694.26	-91521338.47	58017792.36	491.7626966	-405.0138584	796.6490203
3840		-229999805.6	-279999881.4	-69999921.15	0.102958312	0.062661376	0.041889926		81904200.02	-91545639.3	58065591.3	491.6315464	-405.0931179	796.595186
3900		-229999799.4	-279999877.6	-69999918.64	0.104572024	0.063636391	0.042552504		81933697.91	-91569944.89	58113387.01	491.5003839	-405.172367	796.5413317
3960		-229999793.2	-279999873.8	-69999916.09	0.106185889	0.064611279	0.04321533		81963187.93	-91594255.23	58161179.49	491.369209	-405.251606	796.4874572
4020		-229999786.8	-279999870	-69999913.49	0.107799906	0.065586042	0.043878403		81992670.09	-91618570.33	58208968.74	491.2380216	-405.3308347	796.4335626
4080		-229999780.3	-279999866	-69999910.86	0.109414076	0.066560679	0.044541723		82022144.37	-91642890.18	58256754.75	491.1068219	-405.4100532	796.3796479
4140		-229999773.8	-279999862	-69999908.19	0.111028398	0.06753519	0.04520529		82051610.78	-91667214.78	58304537.53	490.9756097	-405.4892615	796.3257132
4200		-229999767.1	-279999858	-69999905.48	0.112642872	0.068509575	0.045869105		82081069.31	-91691544.14	58352317.07	490.8443852	-405.5684596	796.2717583
4260		-229999760.3	-279999853.9	-69999902.72	0.114257499	0.069483834	0.046533167		82110519.98	-91715878.24	58400093.38	490.7131483	-405.6476474	796.2177833
4320		-229999753.5	-279999849.7	-69999899.93	0.115872278	0.070457968	0.047197476		82139962.77	-91740217.1	58447866.44	490.581899	-405.726825	796.1637883
4380		-229999746.5	-279999845.5	-69999897.1	0.11748721	0.071431975	0.047862032		82169397.68	-91764560.71	58495636.27	490.4506374	-405.8059923	796.1097732
4440		-229999739.5	-279999841.2	-69999894.23	0.119102293	0.072405857	0.048526835		82198824.72	-91788909.07	58543402.86	490.3193633	-405.8851494	796.0557379
4500		-229999732.3	-279999836.8	-69999891.32	0.120717529	0.073379612	0.049191885		82228243.88	-91813262.18	58591166.2	490.1880769	-405.9642963	796.0016826
4560		-229999725.1	-279999832.4	-69999888.36	0.122332917	0.074353242	0.049857183		82257655.17	-91837620.04	58638926.3	490.0567782	-406.0434329	795.9476073
4620		-229999717.7	-279999828	-69999885.37	0.123948458	0.075326745	0.050522727		82287058.57	-91861982.64	58686683.16	489.925467	-406.1225593	795.8935118
4680		-229999710.3	-279999823.4	-69999882.34	0.12556415	0.076300123	0.051188519		82316454.1	-91886350	58734436.77	489.7941435	-406.2016754	795.8393962
4740		-229999702.8	-279999818.9	-69999879.27	0.127179994	0.077273374	0.051854557		82345841.75	-91910722.1	58782187.13	489.6628076	-406.2807813	795.7852606
4800		-229999695.1	-279999814.2	-69999876.16	0.128795991	0.078246499	0.052520843		82375221.52	-91935098.94	58829934.25	489.5314594	-406.3598769	795.7311049
4860		-229999687.4	-279999809.5	-69999873.01	0.130412139	0.079219498	0.053187376		82404593.4	-91959480.54	58877678.12	489.4000989	-406.4389623	795.6769291
4920		-229999679.6	-279999804.8	-69999869.82	0.13202844	0.080192371	0.053854155		82433957.41	-91983866.87	58925418.73	489.2687259	-406.5180374	795.6227332
4980		-229999671.7	-279999800	-69999866.59	0.133644892	0.081165117	0.054521182		82463313.53	-92008257.96	58973156.1	489.1373407	-406.5971023	795.5685173
5040		-229999663.7	-279999795.1	-69999863.31	0.135261496	0.082137738	0.055188456		82492661.77	-92032653.78	59020890.21	489.0059431	-406.6761569	795.5142813
5100		-229999655.5	-279999790.2	-69999860	0.136878252	0.083110232	0.055855976		82522002.13	-92057054.35	59068621.06	488.8745331	-406.7552012	795.4600252
5160		-229999647.3	-279999785.2	-69999856.65	0.138495159	0.0840826	0.056523744		82551334.6	-92081459.66	59116348.66	488.7431109	-406.8342353	795.4057491
5220		-229999639	-279999780.1	-69999853.26	0.140112218	0.085054842	0.057191758		82580659.19	-92105869.72	59164073.01	488.6116763	-406.9132591	795.3514528
5280		-229999630.6	-279999775	-69999849.83	0.141729429	0.086026957	0.057860019		82609975.89	-92130284.51	59211794.1	488.4802293	-406.9922727	795.2971365
5340		-229999622.1	-279999769.9	-69999846.36	0.143346792	0.086998946	0.058528527		82639284.7	-92154704.05	59259511.92	488.3487701	-407.071276	795.2428002
5400		-229999613.5	-279999764.7	-69999842.85	0.144964306	0.087970808	0.059197283		82668585.63	-92179128.33	59307226.49	488.2172985	-407.150269	795.1884438
5460		-229999604.8	-279999759.4	-69999839.29	0.146581972	0.088942545	0.059866284		82697878.67	-92203557.34	59354937.8	488.0858146	-407.2292517	795.1340673
5520		-229999596	-279999754	-69999835.7	0.148199789	0.089914154	0.060535533		82727163.82	-92227991.1	59402645.84	487.9543184	-407.3082242	795.0796707
5580		-229999587.1	-279999748.7	-69999832.07	0.149817758	0.090885638	0.061205029		82756441.08	-92252429.59	59450350.62	487.8228098	-407.3871863	795.0252541
5640		-229999578.1	-279999743.2	-69999828.4	0.151435878	0.091856995	0.061874771		82785710.44	-92276872.82	59498052.14	487.691289	-407.4661383	794.9708175
5700		-229999569	-279999737.7	-69999824.68	0.153054149	0.092828225	0.06254476		82814971.92	-92301320.79	59545750.39	487.5597558	-407.5450799	794.9163607
5760		-229999559.9	-279999732.1	-69999820.93	0.154672572	0.093799329	0.063214996		82844225.51	-92325773.5	59593445.37	487.4282104	-407.6240112	794.8618839
5820		-229999550.6	-279999726.5	-69999817.14	0.156291146	0.094770306	0.063885478		82873471.2	-92350230.94	59641137.08	487.2966527	-407.7029323	794.8073871
5880		-229999541.2	-279999720.8	-69999813.31	0.157909872	0.095741157	0.064556208		82902709	-92374693.11	59688825.53	487.1650826	-407.781843	794.7528702
5940		-229999531.7	-279999715.1	-69999809.43	0.159528749	0.096711881	0.065227184		82931938.9	-92399160.02	59736510.7	487.0335003	-407.8607435	794.6983333
6000		-229999522.2	-279999709.3	-69999805.52	0.161147776	0.097682479	0.065898407		82961160.91	-92423631.67	59784192.6	486.9019057	-407.9396337	794.6437763
6060		-229999512.5	-279999703.4	-69999801.57	0.162766955	0.09865295	0.066569876		82990375.03	-92448108.05	59831871.22	486.7702988	-408.0185136	794.5891992
